54.966   -82.1     Wikipedia Antarctica - Soviet Station coordinates
54.9681  -83.6978  Frączek Antarctica
103.6340 -78.2633  Barnes GSHHG L1+L5
105.3855 -77.3963  Barnes GSHHG L1+L6
104.1178 -78.2582  Barnes OpenStreetMap
